Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Seasons
21,Detroit Pistons,E,C,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54,2016/2017
22,New Orleans Pelicans,W,SW,34,48,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78,2016/2017
23,Dallas Mavericks,W,SW,33,49,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65,2016/2017
24,Sacramento Kings,W,P,32,50,0.39,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59,2016/2017
25,New York Knicks,E,A,31,51,0.378,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.6,-3.98,2016/2017
26,Phoenix Suns,W,P,24,58,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98,2016/2017
27,Philadelphia 76ers,E,A,28,54,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99,2016/2017
28,Los Angeles Lakers,W,P,26,56,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42,2016/2017
29,Brooklyn Nets,E,A,20,62,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74,2016/2017
30,Orlando Magic,E,SE,29,53,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92,2016/2017
1,San Antonio Spurs,W,SW,67,15,0.817,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.1,2015/2016
2,Golden State Warriors,W,P,73,9,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49,2015/2016
3,Oklahoma City Thunder,W,NW,55,27,0.671,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35,2015/2016
4,Cleveland Cavaliers,E,C,57,25,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9,2015/2016
5,Toronto Raptors,E,A,56,26,0.683,4.5,111.11,106.16,4.95,4.08,111.18,106.68,4.5,2015/2016
6,Los Angeles Clippers,W,P,53,29,0.646,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31,2015/2016
7,Atlanta Hawks,E,SE,48,34,0.585,3.61,105.75,102,3.75,3.49,105.74,102.12,3.62,2015/2016
8,Boston Celtics,E,A,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81,2015/2016
9,Charlotte Hornets,E,SE,48,34,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34,2015/2016
10,Utah Jazz,W,NW,40,42,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09,2015/2016
11,Indiana Pacers,E,C,45,37,0.549,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68,2015/2016
12,Miami Heat,E,SE,48,34,0.585,1.65,107.01,105.34,1.67,1.5,107.08,105.56,1.52,2015/2016
13,Portland Trail Blazers,W,NW,44,38,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03,2015/2016
14,Detroit Pistons,E,C,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4,2015/2016
15,Houston Rockets,W,SW,41,41,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3,2015/2016
16,Dallas Mavericks,W,SW,42,40,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11,2015/2016
17,Washington Wizards,E,SE,41,41,0.5,-0.5,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39,2015/2016
18,Chicago Bulls,E,C,42,40,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42,2015/2016
19,Orlando Magic,E,SE,35,47,0.427,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8,2015/2016
20,Memphis Grizzlies,W,SW,42,40,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22,2015/2016
21,Sacramento Kings,W,P,33,49,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33,2015/2016
22,Denver Nuggets,W,NW,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,2015/2016
23,New York Knicks,E,A,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02,2015/2016
24,New Orleans Pelicans,W,SW,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63,2015/2016
25,Minnesota Timberwolves,W,NW,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68,2015/2016
26,Milwaukee Bucks,E,C,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37,2015/2016
27,Phoenix Suns,W,P,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5,2015/2016
28,Brooklyn Nets,E,A,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61,2015/2016
29,Los Angeles Lakers,W,P,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43,2015/2016
30,Philadelphia 76ers,E,A,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18,2015/2016
1,Golden State Warriors,W,P,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,2014/2015
2,Los Angeles Clippers,W,P,56,26,0.683,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21,2014/2015
3,San Antonio Spurs,W,SW,55,27,0.671,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79,2014/2015
4,Atlanta Hawks,E,SE,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,2014/2015
5,Portland Trail Blazers,W,NW,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69,2014/2015
6,Cleveland Cavaliers,E,C,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,2014/2015
7,Houston Rockets,W,SW,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,2014/2015
8,Memphis Grizzlies,W,SW,55,27,0.671,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94,2014/2015
9,Dallas Mavericks,W,SW,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64,2014/2015
10,Chicago Bulls,E,C,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88,2014/2015
11,Toronto Raptors,E,A,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72,2014/2015
12,Oklahoma City Thunder,W,NW,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,2014/2015
13,New Orleans Pelicans,W,SW,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,2014/2015
14,Utah Jazz,W,NW,38,44,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79,2014/2015
15,Washington Wizards,E,SE,46,36,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25,2014/2015
16,Indiana Pacers,E,C,38,44,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14,2014/2015
17,Milwaukee Bucks,E,C,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16,2014/2015
18,Phoenix Suns,W,P,39,43,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37,2014/2015
19,Boston Celtics,E,A,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,2014/2015
20,Detroit Pistons,E,C,32,50,0.39,-1,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54,2014/2015
21,Denver Nuggets,W,NW,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07,2014/2015
22,Sacramento Kings,W,P,29,53,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27,2014/2015
23,Brooklyn Nets,E,A,38,44,0.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31,2014/2015
24,Miami Heat,E,SE,37,45,0.451,-2.6,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37,2014/2015
25,Charlotte Hornets,E,SE,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79,2014/2015
26,Orlando Magic,E,SE,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23,2014/2015
27,Los Angeles Lakers,W,P,21,61,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65,2014/2015
28,Minnesota Timberwolves,W,NW,16,66,0.195,-8.79,103.63,112.98,-9.36,-8,103.98,112.5,-8.52,2014/2015
29,Philadelphia 76ers,E,A,18,64,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38,2014/2015
30,New York Knicks,E,A,17,65,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3,2014/2015
1,San Antonio Spurs,W,SW,62,20,0.756,7.72,111.09,102.93,8.16,7.99,110.98,102.53,8.45,2013/2014
2,Los Angeles Clippers,W,P,57,25,0.695,6.98,112.89,105.64,7.25,7.27,112.88,105.33,7.56,2013/2014
3,Oklahoma City Thunder,W,NW,59,23,0.72,6.34,111.32,104.6,6.71,6.65,111.29,104.26,7.04,2013/2014
4,Golden State Warriors,W,P,51,31,0.622,4.8,108.05,103.07,4.98,5.15,107.93,102.59,5.34,2013/2014
5,Houston Rockets,W,SW,54,28,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17,2013/2014
6,Miami Heat,E,SE,54,28,0.659,4.76,112.13,106.75,5.38,4.15,112.15,107.42,4.73,2013/2014
7,Portland Trail Blazers,W,NW,54,28,0.659,3.99,112.03,107.8,4.22,4.43,112.17,107.49,4.68,2013/2014
8,Indiana Pacers,E,C,56,26,0.683,4.4,104.7,100.05,4.65,3.63,104.25,100.42,3.83,2013/2014
9,Dallas Mavericks,W,SW,49,33,0.598,2.4,111.95,109.24,2.71,2.9,112.16,108.95,3.21,2013/2014
10,Minnesota Timberwolves,W,NW,40,42,0.488,2.67,109.41,106.7,2.7,3.1,109.4,106.25,3.15,2013/2014
11,Phoenix Suns,W,P,48,34,0.585,2.63,110.26,107.54,2.72,3.02,110.35,107.23,3.12,2013/2014
12,Toronto Raptors,E,A,48,34,0.585,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89,2013/2014
13,Memphis Grizzlies,W,SW,50,32,0.61,1.57,107.12,105.47,1.66,2.17,107.18,104.89,2.29,2013/2014
14,Chicago Bulls,E,C,48,34,0.585,1.85,103.49,101.4,2.09,1.19,103.12,101.72,1.4,2013/2014
15,Washington Wizards,E,SE,44,38,0.537,1.27,106.75,105.45,1.3,0.47,106.46,105.99,0.47,2013/2014
16,Atlanta Hawks,E,SE,38,44,0.463,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97,2013/2014
17,Charlotte Bobcats,E,SE,43,39,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99,2013/2014
