YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2019,5,May,19:30,5/5/2019 19:30,5/5/2019 11:30,USA,NBA,2018/2019,Play Offs,Philadelphia 76ers,Toronto Raptors,PHI,TOR,96,101,A,U,5,197,,,,21,24,A,2.11,1.83,2.10,1.83,1.95,1.86
2019,5,May,0:30,5/5/2019 0:30,5/4/2019 16:30,USA,NBA,2018/2019,Play Offs,Houston Rockets,Golden State Warriors,HOU,GSW,126,121,H,O,5,247,OT,112,112,25,26,A,1.47,2.30,1.58,2.55,1.66,2.30
2019,4,May,2:30,5/4/2019 2:30,5/3/2019 18:30,USA,NBA,2018/2019,Play Offs,Portland Trail Blazers,Denver Nuggets,POR,DEN,140,137,H,O,3,277,OT,102,102,23,17,H,1.48,2.53,1.56,2.59,1.52,2.67
2019,4,May,0:00,5/4/2019 0:00,5/3/2019 16:00,USA,NBA,2018/2019,Play Offs,Boston Celtics,Milwaukee Bucks,BOS,MIL,116,123,A,O,7,239,,,,30,25,H,1.71,2.00,1.83,2.09,1.80,2.05
2019,3,May,0:00,5/3/2019 0:00,5/2/2019 16:00,USA,NBA,2018/2019,Play Offs,Philadelphia 76ers,Toronto Raptors,PHI,TOR,116,95,H,U,21,211,,,,32,29,H,1.76,1.85,1.88,2.02,1.83,2.00
2019,2,May,1:00,5/2/2019 1:00,5/1/2019 17:00,USA,NBA,2018/2019,Play Offs,Denver Nuggets,Portland Trail Blazers,DEN,POR,90,97,A,U,7,187,,,,23,28,A,1.52,2.22,1.63,2.44,1.58,2.50
2019,1,May,2:30,5/1/2019 2:30,4/30/2019 18:30,USA,NBA,2018/2019,Play Offs,Golden State Warriors,Houston Rockets,GSW,HOU,115,109,H,O,6,224,,,,29,20,H,1.38,2.73,1.43,3.09,1.42,2.95
2019,1,May,0:00,5/1/2019 0:00,4/30/2019 16:00,USA,NBA,2018/2019,Play Offs,Milwaukee Bucks,Boston Celtics,MIL,BOS,123,102,H,O,21,225,,,,25,30,A,1.28,3.20,1.35,3.52,1.31,3.55
2019,30,Apr,2:30,4/30/2019 2:30,4/29/2019 18:30,USA,NBA,2018/2019,Play Offs,Denver Nuggets,Portland Trail Blazers,DEN,POR,121,113,H,O,8,234,,,,32,32,D,1.51,2.21,1.63,2.43,1.60,2.45
2019,30,Apr,0:00,4/30/2019 0:00,4/29/2019 16:00,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Philadelphia 76ers,TOR,PHI,89,94,A,U,5,183,,,,17,26,A,1.31,2.89,1.38,3.31,1.38,3.15
2019,28,Apr,19:30,4/28/2019 19:30,4/28/2019 11:30,USA,NBA,2018/2019,Play Offs,Golden State Warriors,Houston Rockets,GSW,HOU,104,100,H,U,4,204,,,,28,19,H,1.41,3.22,1.41,3.19,1.36,3.25
2019,28,Apr,17:00,4/28/2019 17:00,4/28/2019 9:00,USA,NBA,2018/2019,Play Offs,Milwaukee Bucks,Boston Celtics,MIL,BOS,90,112,A,U,22,202,,,,17,26,A,1.23,3.30,1.31,3.85,1.29,3.70
2019,28,Apr,2:00,4/28/2019 2:00,4/27/2019 18:00,USA,NBA,2018/2019,Play Offs,Denver Nuggets,San Antonio Spurs,DEN,SAS,90,86,H,U,4,176,,,,23,13,H,1.35,3.06,1.42,3.12,1.40,3.05
2019,27,Apr,23:30,4/27/2019 23:30,4/27/2019 15:30,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Philadelphia 76ers,TOR,PHI,108,95,H,U,13,203,,,,39,31,H,1.34,2.89,1.42,3.11,1.42,2.95
2019,27,Apr,2:00,4/27/2019 2:00,4/26/2019 18:00,USA,NBA,2018/2019,Play Offs,Los Angeles Clippers,Golden State Warriors,LAC,GSW,110,129,A,O,19,239,,,,31,35,A,5.10,1.21,5.04,1.21,5.25,1.18
2019,26,Apr,0:00,4/26/2019 0:00,4/25/2019 16:00,USA,NBA,2018/2019,Play Offs,San Antonio Spurs,Denver Nuggets,SAS,DEN,120,103,H,O,17,223,,,,34,24,H,1.67,2.03,1.73,2.24,1.71,2.20
2019,25,Apr,2:30,4/25/2019 2:30,4/24/2019 18:30,USA,NBA,2018/2019,Play Offs,Golden State Warriors,Los Angeles Clippers,GSW,LAC,121,129,A,O,8,250,,,,41,37,H,1.08,10.80,1.08,10.16,1.07,9.50
