YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2016,8,Dec,0:30,12/8/2016 0:30,12/7/2016 16:30,USA,NBA,2016/2017,Regular,Brooklyn Nets,Denver Nuggets,BKN,DEN,116,111,H,O,5,227,,,,36,23,H,2.78,1.52,2.75,1.51,2.70,1.50
2016,8,Dec,0:00,12/8/2016 0:00,12/7/2016 16:00,USA,NBA,2016/2017,Regular,Charlotte Hornets,Detroit Pistons,CHA,DET,87,77,H,U,10,164,,,,23,24,A,1.00,1.00,1.47,2.89,1.43,2.90
2016,8,Dec,0:00,12/8/2016 0:00,12/7/2016 16:00,USA,NBA,2016/2017,Regular,Orlando Magic,Boston Celtics,ORL,BOS,87,117,A,U,30,204,,,,27,26,H,2.46,1.63,2.42,1.64,2.60,1.55
2016,7,Dec,2:00,12/7/2016 2:00,12/6/2016 18:00,USA,NBA,2016/2017,Regular,Utah Jazz,Phoenix Suns,UTA,PHX,112,105,H,O,7,217,,,,33,19,H,1.33,3.74,1.34,3.60,1.31,3.60
2016,7,Dec,1:00,12/7/2016 1:00,12/6/2016 17:00,USA,NBA,2016/2017,Regular,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI,96,91,H,U,5,187,,,,28,20,H,1.00,1.00,1.27,4.26,1.26,4.00
2016,7,Dec,1:00,12/7/2016 1:00,12/6/2016 17:00,USA,NBA,2016/2017,Regular,Minnesota Timberwolves,San Antonio Spurs,MIN,SAS,91,105,A,U,14,196,,,,22,19,H,1.00,1.00,2.60,1.56,2.35,1.64
2016,7,Dec,0:30,12/7/2016 0:30,12/6/2016 16:30,USA,NBA,2016/2017,Regular,Detroit Pistons,Chicago Bulls,DET,CHI,102,91,H,U,11,193,,,,32,21,H,1.43,3.14,1.44,3.01,1.41,3.00
2016,7,Dec,0:30,12/7/2016 0:30,12/6/2016 16:30,USA,NBA,2016/2017,Regular,Miami Heat,New York Knicks,MIA,NYK,103,114,A,O,11,217,,,,25,26,A,1.00,1.00,1.86,2.05,1.86,1.95
2016,7,Dec,0:00,12/7/2016 0:00,12/6/2016 16:00,USA,NBA,2016/2017,Regular,Washington Wizards,Orlando Magic,WAS,ORL,116,124,A,O,8,240,,,,24,25,A,1.68,2.37,1.68,2.33,1.66,2.30
2016,6,Dec,3:30,12/6/2016 3:30,12/5/2016 19:30,USA,NBA,2016/2017,Regular,Golden State Warriors,Indiana Pacers,GSW,IND,142,106,H,O,36,248,,,,38,27,H,1.08,10.80,1.07,11.51,1.06,10.50
2016,6,Dec,3:30,12/6/2016 3:30,12/5/2016 19:30,USA,NBA,2016/2017,Regular,Los Angeles Lakers,Utah Jazz,LAL,UTA,101,107,A,U,6,208,,,,26,26,D,2.31,1.71,2.25,1.72,2.25,1.68
2016,6,Dec,1:30,12/6/2016 1:30,12/5/2016 17:30,USA,NBA,2016/2017,Regular,Dallas Mavericks,Charlotte Hornets,DAL,CHA,101,109,A,U,8,210,,,,23,23,D,1.00,1.00,2.53,1.59,2.55,1.57
2016,6,Dec,1:00,12/6/2016 1:00,12/5/2016 17:00,USA,NBA,2016/2017,Regular,New Orleans Pelicans,Memphis Grizzlies,NOP,MEM,108,110,A,O,2,218,OT,94,94,21,17,H,1.57,2.61,1.59,2.53,1.55,2.60
2016,6,Dec,1:00,12/6/2016 1:00,12/5/2016 17:00,USA,NBA,2016/2017,Regular,Chicago Bulls,Portland Trail Blazers,CHI,POR,110,112,A,O,2,222,,,,32,29,H,1.00,1.00,1.47,2.91,1.44,2.85
2016,6,Dec,1:00,12/6/2016 1:00,12/5/2016 17:00,USA,NBA,2016/2017,Regular,Houston Rockets,Boston Celtics,HOU,BOS,107,106,H,U,1,213,,,,26,17,H,1.56,2.65,1.55,2.63,1.54,2.65
2016,6,Dec,1:00,12/6/2016 1:00,12/5/2016 17:00,USA,NBA,2016/2017,Regular,Milwaukee Bucks,San Antonio Spurs,MIL,SAS,96,97,A,U,1,193,,,,24,26,A,1.00,1.00,2.88,1.48,2.90,1.43
2016,6,Dec,0:30,12/6/2016 0:30,12/5/2016 16:30,USA,NBA,2016/2017,Regular,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC,99,102,A,U,3,201,,,,21,23,A,1.93,2.00,1.92,1.99,1.86,1.95
2016,6,Dec,0:30,12/6/2016 0:30,12/5/2016 16:30,USA,NBA,2016/2017,Regular,Brooklyn Nets,Washington Wizards,BKN,WAS,113,118,A,O,5,231,,,,32,29,H,1.00,1.00,3.01,1.44,2.90,1.43
2016,6,Dec,0:30,12/6/2016 0:30,12/5/2016 16:30,USA,NBA,2016/2017,Regular,Toronto Raptors,Cleveland Cavaliers,TOR,CLE,112,116,A,O,4,228,,,,27,30,A,1.96,1.96,1.81,2.11,1.83,2.00
2016,6,Dec,0:00,12/6/2016 0:00,12/5/2016 16:00,USA,NBA,2016/2017,Regular,Philadelphia 76ers,Denver Nuggets,PHI,DEN,98,106,A,U,8,204,,,,27,18,H,2.57,1.59,2.55,1.58,2.50,1.58
2016,5,Dec,2:30,12/5/2016 2:30,12/4/2016 18:30,USA,NBA,2016/2017,Regular,Los Angeles Clippers,Indiana Pacers,LAC,IND,102,111,A,U,9,213,,,,28,17,H,1.00,1.00,1.11,8.04,1.09,8.00
2016,5,Dec,0:30,12/5/2016 0:30,12/4/2016 16:30,USA,NBA,2016/2017,Regular,New York Knicks,Sacramento Kings,NYK,SAC,106,98,H,U,8,204,,,,26,21,H,1.71,2.31,1.70,2.29,1.71,2.20
2016,5,Dec,3:00,12/5/2016 0:00,12/4/2016 16:00,USA,NBA,2016/2017,Regular,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP,101,92,H,U,9,193,,,,29,26,H,1.45,3.04,1.44,3.01,1.42,2.95
2016,4,Dec,23:00,12/4/2016 23:00,12/4/2016 15:00,USA,NBA,2016/2017,Regular,Detroit Pistons,Orlando Magic,DET,ORL,92,98,A,U,6,190,,,,27,23,H,1.37,3.44,1.37,3.41,1.34,3.35
2016,4,Dec,3:30,12/4/2016 3:30,12/3/2016 19:30,USA,NBA,2016/2017,Regular,Golden State Warriors,Phoenix Suns,GSW,PHX,138,109,H,O,29,247,,,,37,30,H,1.00,1.00,1.02,21.45,1.02,17.00
2016,4,Dec,3:00,12/4/2016 3:00,12/3/2016 19:00,USA,NBA,2016/2017,Regular,Portland Trail Blazers,Miami Heat,POR,MIA,99,92,H,U,7,191,,,,21,29,A,1.38,3.38,1.37,3.39,1.38,3.15
2016,4,Dec,2:00,12/4/2016 2:00,12/3/2016 18:00,USA,NBA,2016/2017,Regular,Utah Jazz,Denver Nuggets,UTA,DEN,105,98,H,U,7,203,,,,24,21,H,1.43,3.12,1.43,3.09,1.38,3.15
2016,4,Dec,1:30,12/4/2016 1:30,12/3/2016 17:30,USA,NBA,2016/2017,Regular,Dallas Mavericks,Chicago Bulls,DAL,CHI,107,82,H,U,25,189,,,,29,18,H,2.46,1.63,2.44,1.63,2.45,1.60
2016,4,Dec,1:00,12/4/2016 1:00,12/3/2016 17:00,USA,NBA,2016/2017,Regular,Memphis Grizzlies,Los Angeles Lakers,MEM,LAL,103,100,H,U,3,203,,,,25,25,D,1.81,2.13,1.86,2.05,1.71,2.20
2016,4,Dec,0:30,12/4/2016 0:30,12/3/2016 16:30,USA,NBA,2016/2017,Regular,Philadelphia 76ers,Boston Celtics,PHI,BOS,106,107,A,U,1,213,,,,30,22,H,5.30,1.20,4.90,1.22,5.00,1.19
2016,4,Dec,0:30,12/4/2016 0:30,12/3/2016 16:30,USA,NBA,2016/2017,Regular,Toronto Raptors,Atlanta Hawks,TOR,ATL,128,84,H,U,44,212,,,,32,22,H,1.24,4.75,1.23,4.69,1.22,4.50
2016,4,Dec,0:00,12/4/2016 0:00,12/3/2016 16:00,USA,NBA,2016/2017,Regular,Charlotte Hornets,Minnesota Timberwolves,CHA,MIN,120,125,A,O,5,245,OT,106,106,29,19,H,1.41,3.26,1.38,3.31,1.38,3.15
2016,3,Dec,22:00,12/3/2016 22:00,12/3/2016 14:00,USA,NBA,2016/2017,Regular,Milwaukee Bucks,Brooklyn Nets,MIL,BKN,112,103,H,U,9,215,,,,25,22,H,1.23,4.90,1.22,4.97,1.16,5.50
2016,3,Dec,3:30,12/3/2016 3:30,12/2/2016 19:30,USA,NBA,2016/2017,Regular,Denver Nuggets,Houston Rockets,DEN,HOU,110,128,A,O,18,238,,,,33,42,A,1.72,2.29,1.75,2.21,1.68,2.25
2016,3,Dec,1:30,12/3/2016 1:30,12/2/2016 17:30,USA,NBA,2016/2017,Regular,San Antonio Spurs,Washington Wizards,SAS,WAS,107,105,H,U,2,212,,,,24,28,A,1.00,1.00,1.21,5.00,1.18,5.25
2016,3,Dec,1:00,12/3/2016 1:00,12/2/2016 17:00,USA,NBA,2016/2017,Regular,Atlanta Hawks,Detroit Pistons,ATL,DET,85,121,A,U,36,206,,,,24,27,A,1.76,2.21,1.71,2.27,1.68,2.25
2016,3,Dec,1:00,12/3/2016 1:00,12/2/2016 17:00,USA,NBA,2016/2017,Regular,Chicago Bulls,Cleveland Cavaliers,CHI,CLE,111,105,H,O,6,216,,,,30,33,A,2.23,1.75,2.18,1.77,2.15,1.74
2016,3,Dec,1:00,12/3/2016 1:00,12/2/2016 17:00,USA,NBA,2016/2017,Regular,New Orleans Pelicans,Los Angeles Clippers,NOP,LAC,96,114,A,U,18,210,,,,30,25,H,2.76,1.53,2.49,1.61,2.70,1.50
2016,3,Dec,0:30,12/3/2016 0:30,12/2/2016 16:30,USA,NBA,2016/2017,Regular,Boston Celtics,Sacramento Kings,BOS,SAC,97,92,H,U,5,189,,,,29,29,D,1.00,1.00,1.38,3.35,1.35,3.30
2016,3,Dec,0:30,12/3/2016 0:30,12/2/2016 16:30,USA,NBA,2016/2017,Regular,New York Knicks,Minnesota Timberwolves,NYK,MIN,118,114,H,O,4,232,,,,30,21,H,1.00,1.00,1.74,2.22,1.71,2.20
2016,3,Dec,0:30,12/3/2016 0:30,12/2/2016 16:30,USA,NBA,2016/2017,Regular,Toronto Raptors,Los Angeles Lakers,TOR,LAL,113,80,H,U,33,193,,,,28,22,H,1.18,5.90,1.17,5.98,1.13,6.25
2016,3,Dec,0:00,12/3/2016 0:00,12/2/2016 16:00,USA,NBA,2016/2017,Regular,Philadelphia 76ers,Orlando Magic,PHI,ORL,88,105,A,U,17,193,,,,14,21,A,1.82,2.12,1.81,2.11,1.76,2.10
2016,2,Dec,3:30,12/2/2016 3:30,12/1/2016 19:30,USA,NBA,2016/2017,Regular,Golden State Warriors,Houston Rockets,GSW,HOU,127,132,A,O,5,259,OT,113,113,30,32,A,1.16,5.40,1.19,5.42,1.18,5.25
2016,2,Dec,2:00,12/2/2016 2:00,12/1/2016 18:00,USA,NBA,2016/2017,Regular,Utah Jazz,Miami Heat,UTA,MIA,110,111,A,O,1,221,,,,27,26,H,1.16,5.30,1.19,5.42,1.16,5.50
2016,2,Dec,1:00,12/2/2016 1:00,12/1/2016 17:00,USA,NBA,2016/2017,Regular,Cleveland Cavaliers,Los Angeles Clippers,CLE,LAC,94,113,A,U,19,207,,,,28,24,H,1.47,2.74,1.52,2.73,1.47,2.75
2016,2,Dec,1:00,12/2/2016 1:00,12/1/2016 17:00,USA,NBA,2016/2017,Regular,Memphis Grizzlies,Orlando Magic,MEM,ORL,95,94,H,U,1,189,,,,30,28,H,2.06,1.77,2.12,1.81,2.05,1.80
2016,2,Dec,0:30,12/2/2016 0:30,12/1/2016 16:30,USA,NBA,2016/2017,Regular,Brooklyn Nets,Milwaukee Bucks,BKN,MIL,93,111,A,U,18,204,,,,26,27,A,2.53,1.53,2.59,1.56,2.50,1.58
2016,2,Dec,0:00,12/2/2016 0:00,12/1/2016 16:00,USA,NBA,2016/2017,Regular,Charlotte Hornets,Dallas Mavericks,CHA,DAL,97,87,H,U,10,184,,,,23,14,H,1.12,6.30,1.15,6.52,1.14,6.00
2016,1,Dec,3:00,12/1/2016 3:00,11/30/2016 19:00,USA,NBA,2016/2017,Regular,Portland Trail Blazers,Indiana Pacers,POR,IND,131,109,H,O,22,240,,,,31,23,H,1.27,3.86,1.29,4.00,1.28,3.75
2016,1,Dec,2:00,12/1/2016 2:00,11/30/2016 18:00,USA,NBA,2016/2017,Regular,Denver Nuggets,Miami Heat,DEN,MIA,98,106,A,U,8,204,,,,30,28,H,1.42,2.90,1.49,2.85,1.42,2.95
2016,1,Dec,2:00,12/1/2016 2:00,11/30/2016 18:00,USA,NBA,2016/2017,Regular,Phoenix Suns,Atlanta Hawks,PHX,ATL,109,107,H,O,2,216,,,,36,27,H,2.84,1.43,2.91,1.47,2.85,1.44
2016,1,Dec,1:30,12/1/2016 1:30,11/30/2016 17:30,USA,NBA,2016/2017,Regular,Dallas Mavericks,San Antonio Spurs,DAL,SAS,87,94,A,U,7,181,,,,17,21,A,4.15,1.24,4.26,1.27,4.25,1.23
2016,1,Dec,1:00,12/1/2016 1:00,11/30/2016 17:00,USA,NBA,2016/2017,Regular,Chicago Bulls,Los Angeles Lakers,CHI,LAL,90,96,A,U,6,186,,,,28,17,H,1.15,5.50,1.18,5.65,1.15,5.75
2016,1,Dec,1:00,12/1/2016 1:00,11/30/2016 17:00,USA,NBA,2016/2017,Regular,Minnesota Timberwolves,New York Knicks,MIN,NYK,104,106,A,U,2,210,,,,31,28,H,1.58,2.40,1.62,2.46,1.60,2.45
2016,1,Dec,1:00,12/1/2016 1:00,11/30/2016 17:00,USA,NBA,2016/2017,Regular,Oklahoma City Thunder,Washington Wizards,OKC,WAS,126,115,H,O,11,241,OT,105,105,32,19,H,1.39,3.02,1.46,2.93,1.41,3.00
2016,1,Dec,0:30,12/1/2016 0:30,11/30/2016 16:30,USA,NBA,2016/2017,Regular,Boston Celtics,Detroit Pistons,BOS,DET,114,121,A,O,7,235,,,,28,31,A,1.28,3.76,1.31,3.85,1.31,3.60
2016,1,Dec,0:30,12/1/2016 0:30,11/30/2016 16:30,USA,NBA,2016/2017,Regular,Toronto Raptors,Memphis Grizzlies,TOR,MEM,120,105,H,O,15,225,,,,25,28,A,1.09,7.50,1.12,7.71,1.11,7.00
2016,30,Nov,2:00,11/30/2016 2:00,11/29/2016 18:00,USA,NBA,2016/2017,Regular,Utah Jazz,Houston Rockets,UTA,HOU,120,101,H,O,19,221,,,,38,29,H,2.05,1.68,2.18,1.77,2.10,1.76
2016,30,Nov,1:30,11/30/2016 1:30,11/29/2016 17:30,USA,NBA,2016/2017,Regular,San Antonio Spurs,Orlando Magic,SAS,ORL,83,95,A,U,12,178,,,,20,16,H,1.06,12.50,1.06,12.02,1.06,10.50
2016,30,Nov,1:00,11/30/2016 1:00,11/29/2016 17:00,USA,NBA,2016/2017,Regular,Milwaukee Bucks,Cleveland Cavaliers,MIL,CLE,118,101,H,O,17,219,,,,30,32,A,3.32,1.34,3.41,1.37,3.30,1.35
2016,30,Nov,2:00,11/30/2016 1:00,11/29/2016 17:00,USA,NBA,2016/2017,Regular,New Orleans Pelicans,Los Angeles Lakers,NOP,LAL,105,88,H,U,17,193,,,,33,22,H,1.48,2.66,1.52,2.73,1.47,2.75
2016,30,Nov,0:30,11/30/2016 0:30,11/29/2016 16:30,USA,NBA,2016/2017,Regular,Brooklyn Nets,Los Angeles Clippers,BKN,LAC,127,122,H,O,5,249,OT,107,107,24,28,A,9.40,1.06,9.61,1.09,9.00,1.07
2016,30,Nov,1:00,11/30/2016 0:00,11/29/2016 16:00,USA,NBA,2016/2017,Regular,Charlotte Hornets,Detroit Pistons,CHA,DET,89,112,A,U,23,201,,,,25,33,A,1.64,2.27,1.68,2.32,1.64,2.35
2016,29,Nov,4:30,11/29/2016 3:30,11/28/2016 19:30,USA,NBA,2016/2017,Regular,Golden State Warriors,Atlanta Hawks,GSW,ATL,105,100,H,U,5,205,,,,29,27,H,1.06,9.00,1.09,9.35,1.08,8.50
2016,29,Nov,1:00,11/29/2016 1:00,11/28/2016 17:00,USA,NBA,2016/2017,Regular,Memphis Grizzlies,Charlotte Hornets,MEM,CHA,85,104,A,U,19,189,,,,25,25,D,1.75,2.09,1.71,2.27,1.74,2.15
2016,29,Nov,1:00,11/29/2016 1:00,11/28/2016 17:00,USA,NBA,2016/2017,Regular,Minnesota Timberwolves,Utah Jazz,MIN,UTA,103,112,A,U,9,215,,,,27,22,H,2.07,1.76,2.12,1.81,2.05,1.80
2016,29,Nov,0:30,11/29/2016 0:30,11/28/2016 16:30,USA,NBA,2016/2017,Regular,Miami Heat,Boston Celtics,MIA,BOS,104,112,A,O,8,216,,,,19,21,A,2.41,1.57,2.49,1.61,2.55,1.57
2016,29,Nov,0:30,11/29/2016 0:30,11/28/2016 16:30,USA,NBA,2016/2017,Regular,New York Knicks,Oklahoma City Thunder,NYK,OKC,103,112,A,U,9,215,,,,29,24,H,1.91,1.91,1.95,1.95,1.86,1.95
2016,29,Nov,0:30,11/29/2016 0:30,11/28/2016 16:30,USA,NBA,2016/2017,Regular,Toronto Raptors,Philadelphia 76ers,TOR,PHI,122,95,H,O,27,217,,,,33,26,H,1.05,14.50,1.05,14.82,1.05,12.25
2016,29,Nov,0:00,11/29/2016 0:00,11/28/2016 16:00,USA,NBA,2016/2017,Regular,Washington Wizards,Sacramento Kings,WAS,SAC,101,95,H,U,6,196,OT,92,92,25,19,H,,,1.56,2.62,1.47,2.75
2016,28,Nov,2:30,11/28/2016 2:30,11/27/2016 18:30,USA,NBA,2016/2017,Regular,Los Angeles Lakers,Atlanta Hawks,LAL,ATL,109,94,H,U,15,203,,,,21,32,A,2.56,1.52,2.62,1.56,2.60,1.55
2016,28,Nov,2:00,11/28/2016 2:00,11/27/2016 18:00,USA,NBA,2016/2017,Regular,Portland Trail Blazers,Houston Rockets,POR,HOU,114,130,A,O,16,244,,,,35,35,D,2.13,1.73,2.06,1.85,2.15,1.74
2016,28,Nov,0:00,11/28/2016 0:00,11/27/2016 16:00,USA,NBA,2016/2017,Regular,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,91,81,H,U,10,172,,,,26,20,H,2.31,1.62,2.37,1.66,2.35,1.64
2016,27,Nov,23:00,11/27/2016 23:00,11/27/2016 15:00,USA,NBA,2016/2017,Regular,Brooklyn Nets,Sacramento Kings,BKN,SAC,105,122,A,O,17,227,,,,35,31,H,2.47,1.55,2.53,1.59,2.45,1.60
2016,27,Nov,23:00,11/27/2016 23:00,11/27/2016 15:00,USA,NBA,2016/2017,Regular,Indiana Pacers,Los Angeles Clippers,IND,LAC,91,70,H,U,21,161,,,,23,20,H,5.80,1.14,5.98,1.17,6.00,1.14
2016,27,Nov,23:00,11/27/2016 23:00,11/27/2016 15:00,USA,NBA,2016/2017,Regular,Orlando Magic,Milwaukee Bucks,ORL,MIL,96,104,A,U,8,200,,,,29,36,A,2.00,1.82,2.05,1.86,1.95,1.86
2016,27,Nov,20:30,11/27/2016 20:30,11/27/2016 12:30,USA,NBA,2016/2017,Regular,Phoenix Suns,Denver Nuggets,PHX,DEN,114,120,A,O,6,234,,,,28,29,A,1.83,2.01,1.86,2.05,1.80,2.05
2016,27,Nov,18:00,11/27/2016 18:00,11/27/2016 10:00,USA,NBA,2016/2017,Regular,Philadelphia 76ers,Cleveland Cavaliers,PHI,CLE,108,112,A,O,4,220,,,,30,24,H,8.40,1.07,8.67,1.10,8.00,1.09
2016,27,Nov,3:30,11/27/2016 3:30,11/26/2016 19:30,USA,NBA,2016/2017,Regular,Golden State Warriors,Minnesota Timberwolves,GSW,MIN,115,102,H,O,13,217,,,,30,33,A,1.05,10.20,1.08,10.44,1.06,10.00
2016,27,Nov,1:00,11/27/2016 1:00,11/26/2016 17:00,USA,NBA,2016/2017,Regular,Miami Heat,Memphis Grizzlies,MIA,MEM,107,110,A,O,3,217,,,,31,24,H,1.83,1.98,1.88,2.03,1.83,2.00
2016,27,Nov,1:00,11/27/2016 1:00,11/26/2016 17:00,USA,NBA,2016/2017,Regular,Oklahoma City Thunder,Detroit Pistons,OKC,DET,106,88,H,U,18,194,,,,29,19,H,1.53,2.54,1.56,2.60,1.55,2.60
2016,27,Nov,0:00,11/27/2016 0:00,11/26/2016 16:00,USA,NBA,2016/2017,Regular,Charlotte Hornets,New York Knicks,CHA,NYK,107,102,H,U,5,209,,,,38,22,H,1.39,3.02,1.43,3.10,1.40,3.10
2016,27,Nov,9:00,11/27/2016 0:00,11/26/2016 16:00,USA,NBA,2016/2017,Regular,Washington Wizards,San Antonio Spurs,WAS,SAS,100,112,A,U,12,212,,,,22,23,A,3.08,1.38,3.22,1.40,2.90,1.43
2016,26,Nov,3:30,11/26/2016 3:30,11/25/2016 19:30,USA,NBA,2016/2017,Regular,Los Angeles Lakers,Golden State Warriors,LAL,GSW,85,109,A,U,24,194,,,,20,30,A,9.00,1.06,8.36,1.11,8.50,1.08
2016,26,Nov,3:30,11/26/2016 3:30,11/25/2016 19:30,USA,NBA,2016/2017,Regular,Sacramento Kings,Houston Rockets,SAC,HOU,104,117,A,O,13,221,,,,19,38,A,2.25,1.65,2.31,1.69,2.25,1.68
2016,26,Nov,12:00,11/26/2016 3:00,11/25/2016 19:00,USA,NBA,2016/2017,Regular,Portland Trail Blazers,New Orleans Pelicans,POR,NOP,119,104,H,O,15,223,,,,32,34,A,1.55,2.47,1.60,2.50,1.57,2.55
2016,26,Nov,2:00,11/26/2016 2:00,11/25/2016 18:00,USA,NBA,2016/2017,Regular,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,129,132,A,O,3,261,OT,122,122,30,31,A,,,2.07,1.85,2.05,1.80
2016,26,Nov,2:00,11/26/2016 2:00,11/25/2016 18:00,USA,NBA,2016/2017,Regular,Phoenix Suns,Minnesota Timberwolves,PHX,MIN,85,98,A,U,13,183,,,,27,29,A,1.95,1.93,2.12,1.81,1.95,1.86
2016,26,Nov,1:00,11/26/2016 1:00,11/25/2016 17:00,USA,NBA,2016/2017,Regular,Indiana Pacers,Brooklyn Nets,IND,BKN,118,97,H,U,21,215,,,,28,23,H,1.21,4.50,1.23,4.77,1.22,4.50
2016,26,Nov,1:00,11/26/2016 1:00,11/25/2016 17:00,USA,NBA,2016/2017,Regular,Memphis Grizzlies,Miami Heat,MEM,MIA,81,90,A,U,9,171,,,,19,28,A,1.34,3.26,1.36,3.44,1.35,3.30
2016,26,Nov,1:00,11/26/2016 1:00,11/25/2016 17:00,USA,NBA,2016/2017,Regular,Milwaukee Bucks,Toronto Raptors,MIL,TOR,99,105,A,U,6,204,,,,24,27,A,2.25,1.65,2.43,1.63,2.30,1.66
2016,26,Nov,1:00,11/26/2016 1:00,11/25/2016 17:00,USA,NBA,2016/2017,Regular,Utah Jazz,Atlanta Hawks,UTA,ATL,95,68,H,U,27,163,,,,24,23,H,,,1.73,2.24,1.71,2.20
2016,26,Nov,0:30,11/26/2016 0:30,11/25/2016 16:30,USA,NBA,2016/2017,Regular,Cleveland Cavaliers,Dallas Mavericks,CLE,DAL,128,90,H,O,38,218,,,,36,16,H,1.04,18.50,1.03,17.65,1.02,16.50
2016,26,Nov,0:30,11/26/2016 0:30,11/25/2016 16:30,USA,NBA,2016/2017,Regular,Detroit Pistons,Los Angeles Clippers,DET,LAC,108,97,H,U,11,205,,,,35,23,H,3.18,1.36,3.56,1.34,3.15,1.38
2016,26,Nov,0:30,11/26/2016 0:30,11/25/2016 16:30,USA,NBA,2016/2017,Regular,New York Knicks,Charlotte Hornets,NYK,CHA,113,111,H,O,2,224,OT,104,104,30,28,H,1.91,1.91,1.94,1.96,1.95,1.86
2016,26,Nov,0:30,11/26/2016 0:30,11/25/2016 16:30,USA,NBA,2016/2017,Regular,Philadelphia 76ers,Chicago Bulls,PHI,CHI,89,105,A,U,16,194,,,,19,23,A,3.82,1.27,3.85,1.31,3.80,1.27
2016,26,Nov,0:00,11/26/2016 0:00,11/25/2016 16:00,USA,NBA,2016/2017,Regular,Orlando Magic,Washington Wizards,ORL,WAS,91,94,A,U,3,185,,,,14,26,A,1.97,1.84,1.99,1.92,1.95,1.86
2016,25,Nov,18:00,11/25/2016 18:00,11/25/2016 10:00,USA,NBA,2016/2017,Regular,Boston Celtics,San Antonio Spurs,BOS,SAS,103,109,A,U,6,212,,,,32,22,H,2.23,1.66,2.29,1.70,2.20,1.71
2016,24,Nov,3:30,11/24/2016 3:30,11/23/2016 19:30,USA,NBA,2016/2017,Regular,Golden State Warriors,Los Angeles Lakers,GSW,LAL,149,106,H,O,43,255,,,,41,26,H,1.02,26.00,1.02,23.77,1.01,17.50
2016,24,Nov,3:30,11/24/2016 3:30,11/23/2016 19:30,USA,NBA,2016/2017,Regular,Sacramento Kings,Oklahoma City Thunder,SAC,OKC,116,101,H,O,15,217,,,,27,27,D,1.66,2.23,1.70,2.29,1.68,2.25
2016,24,Nov,2:30,11/24/2016 2:30,11/23/2016 18:30,USA,NBA,2016/2017,Regular,New Orleans Pelicans,Minnesota Timberwolves,NOP,MIN,117,96,H,U,21,213,,,,31,26,H,1.99,1.83,2.04,1.87,2.05,1.80
2016,24,Nov,2:00,11/24/2016 2:00,11/23/2016 18:00,USA,NBA,2016/2017,Regular,Utah Jazz,Denver Nuggets,UTA,DEN,108,83,H,U,25,191,,,,36,27,H,1.46,2.74,1.50,2.81,1.47,2.75
2016,24,Nov,1:30,11/24/2016 1:30,11/23/2016 17:30,USA,NBA,2016/2017,Regular,Dallas Mavericks,Los Angeles Clippers,DAL,LAC,104,124,A,O,20,228,,,,26,32,A,5.30,1.16,5.46,1.19,5.25,1.18
2016,24,Nov,1:00,11/24/2016 1:00,11/23/2016 17:00,USA,NBA,2016/2017,Regular,Houston Rockets,Toronto Raptors,HOU,TOR,102,115,A,O,13,217,,,,20,24,A,1.62,2.31,1.66,2.37,1.64,2.35
2016,24,Nov,0:30,11/24/2016 0:30,11/23/2016 16:30,USA,NBA,2016/2017,Regular,Brooklyn Nets,Boston Celtics,BKN,BOS,92,111,A,U,19,203,,,,16,30,A,3.68,1.29,3.56,1.34,3.70,1.29
2016,24,Nov,9:30,11/24/2016 0:30,11/23/2016 16:30,USA,NBA,2016/2017,Regular,Detroit Pistons,Miami Heat,DET,MIA,107,84,H,U,23,191,,,,28,16,H,1.52,2.56,1.56,2.62,1.54,2.65
2016,24,Nov,0:00,11/24/2016 0:00,11/23/2016 16:00,USA,NBA,2016/2017,Regular,Charlotte Hornets,San Antonio Spurs,CHA,SAS,114,119,A,O,5,233,,,,28,30,A,2.56,1.52,2.53,1.59,2.55,1.57
2016,24,Nov,0:00,11/24/2016 0:00,11/23/2016 16:00,USA,NBA,2016/2017,Regular,Cleveland Cavaliers,Portland Trail Blazers,CLE,POR,137,125,H,O,12,262,,,,46,31,H,1.10,7.10,1.13,7.22,1.09,8.00
2016,24,Nov,0:00,11/24/2016 0:00,11/23/2016 16:00,USA,NBA,2016/2017,Regular,Indiana Pacers,Atlanta Hawks,IND,ATL,85,96,A,U,11,181,,,,24,31,A,2.23,1.66,2.29,1.70,2.25,1.68
2016,24,Nov,0:00,11/24/2016 0:00,11/23/2016 16:00,USA,NBA,2016/2017,Regular,Orlando Magic,Phoenix Suns,ORL,PHX,87,92,A,U,5,179,,,,22,24,A,1.55,2.49,1.58,2.55,1.57,2.55
